,#commits,duration,max y,max y pos,mean y,median y,sum y,peakup,avg delta ups,min amplitude,avg amplitude,max amplitude,mean +gradient,mean -gradient
3036,4034.0,570.0,84.0,537.0,7.07719298246,5.0,4034.0,168.0,3.33532934132,0.0119047619048,0.0953089569161,0.833333333333,5.36615384615,-7.1393442623
3037,1298.0,262.0,81.0,8.0,4.95419847328,0.0,1298.0,36.0,7.34285714286,0.0123456790123,0.168038408779,0.962962962963,3.00476190476,-12.568627451
3038,10355.0,756.0,457.0,164.0,13.6970899471,5.0,10355.0,204.0,3.69458128079,0.00218818380744,0.0318252027288,0.91466083151,8.2443438914,-11.6485623003
3039,9336.0,821.0,118.0,434.0,11.371498173,7.0,9336.0,234.0,3.50643776824,0.00847457627119,0.081450094162,0.991525423729,6.52045454545,-7.55789473684
3040,393.0,552.0,35.0,129.0,0.711956521739,0.0,393.0,56.0,9.78181818182,0.0285714285714,0.11887755102,0.685714285714,0.538461538462,-3.72857142857
3041,12989.0,566.0,253.0,111.0,22.9487632509,10.5,12989.0,164.0,3.44171779141,0.00395256916996,0.0950303672997,0.782608695652,15.0714285714,-18.1011673152
3042,3729.0,296.0,89.0,32.0,12.597972973,10.0,3729.0,86.0,3.4,0.0112359550562,0.106610922394,0.988764044944,6.66242038217,-7.50724637681
3044,1926.0,176.0,58.0,140.0,10.9431818182,6.0,1926.0,54.0,2.81132075472,0.0172413793103,0.194444444444,0.98275862069,7.88775510204,-10.3766233766
3045,872.0,279.0,42.0,2.0,3.12544802867,0.0,872.0,51.0,5.48,0.0238095238095,0.168067226891,0.642857142857,2.08653846154,-6.28571428571
3046,4852.0,246.0,114.0,12.0,19.7235772358,15.0,4852.0,79.0,3.05128205128,0.00877192982456,0.131578947368,0.80701754386,11.2421875,-12.2735042735
3047,1529.0,272.0,117.0,192.0,5.62132352941,2.0,1529.0,72.0,3.71830985915,0.00854700854701,0.0839268755935,1.0,5.18343195266,-8.72549019608
3048,3335.0,318.0,59.0,267.0,10.4874213836,3.0,3335.0,95.0,3.3085106383,0.0169491525424,0.144335414808,0.813559322034,5.10752688172,-7.07633587786
3049,8954.0,710.0,159.0,534.0,12.6112676056,6.0,8954.0,141.0,5.00714285714,0.0062893081761,0.123645122441,0.805031446541,7.08571428571,-15.8812785388
3050,5584.0,276.0,86.0,203.0,20.231884058,18.0,5584.0,81.0,3.3375,0.0116279069767,0.161929371232,0.627906976744,10.837037037,-10.3071428571
3051,940.0,266.0,39.0,4.0,3.53383458647,1.0,940.0,65.0,4.078125,0.025641025641,0.185009861933,0.846153846154,3.12574850299,-5.47959183673
3052,109.0,186.0,12.0,15.0,0.586021505376,0.0,109.0,23.0,6.95454545455,0.0833333333333,0.231884057971,0.916666666667,0.464516129032,-2.46666666667
3053,237.0,162.0,38.0,4.0,1.46296296296,0.0,237.0,25.0,4.91666666667,0.0263157894737,0.129473684211,0.815789473684,1.05426356589,-4.25
3054,307.0,239.0,38.0,75.0,1.28451882845,0.0,307.0,31.0,7.86666666667,0.0263157894737,0.1519524618,1.0,0.990147783251,-5.88571428571
3055,35272.0,696.0,256.0,581.0,50.6781609195,37.0,35272.0,213.0,3.25943396226,0.00390625,0.105285357981,0.75,21.5698630137,-23.903030303
3056,4539.0,275.0,154.0,111.0,16.5054545455,8.0,4539.0,77.0,3.44736842105,0.00649350649351,0.144037780401,0.88961038961,12.2549019608,-15.4958677686
3057,1786.0,130.0,614.0,1.0,13.7384615385,3.0,1786.0,36.0,3.37142857143,0.00162866449511,0.0224846181687,0.307817589577,8.02816901408,-20.3793103448
3058,2570.0,259.0,66.0,128.0,9.92277992278,7.0,2570.0,74.0,3.38356164384,0.0151515151515,0.118755118755,0.878787878788,5.45925925926,-5.9837398374
3059,1037.0,255.0,48.0,208.0,4.06666666667,1.0,1037.0,65.0,3.921875,0.0208333333333,0.141346153846,1.0,3.29341317365,-6.35632183908
3060,4603.0,339.0,115.0,240.0,13.5781710914,8.0,4603.0,90.0,3.67415730337,0.00869565217391,0.138357487923,0.869565217391,9.03431372549,-13.8805970149
3061,323.0,252.0,52.0,134.0,1.28174603175,0.0,323.0,31.0,8.16666666667,0.0192307692308,0.140818858561,0.980769230769,1.08878504673,-7.13513513514
3062,338.0,212.0,40.0,173.0,1.59433962264,0.0,338.0,25.0,8.125,0.025,0.138,1.0,1.01142857143,-5.16666666667
3063,546.0,206.0,80.0,162.0,2.65048543689,0.0,546.0,26.0,7.56,0.0125,0.111538461538,0.725,1.77058823529,-8.4
3064,26795.0,503.0,259.0,322.0,53.2703777336,46.0,26795.0,156.0,3.2,0.003861003861,0.0952875952876,0.640926640927,21.54296875,-22.2764227642
3065,738.0,411.0,35.0,28.0,1.79562043796,0.0,738.0,81.0,5.05,0.0285714285714,0.151675485009,1.0,1.63725490196,-4.89423076923
3066,3452.0,234.0,132.0,32.0,14.7521367521,7.0,3452.0,66.0,3.49230769231,0.00757575757576,0.102387511478,0.55303030303,9.22388059701,-12.6666666667
3067,366.0,236.0,23.0,131.0,1.55084745763,0.0,366.0,53.0,4.32692307692,0.0434782608696,0.123872026251,0.565217391304,1.17341040462,-3.25806451613
3068,267.0,162.0,26.0,27.0,1.64814814815,0.0,267.0,20.0,6.84210526316,0.0384615384615,0.142307692308,1.0,0.875968992248,-3.84375
3069,516.0,263.0,38.0,4.0,1.96197718631,0.0,516.0,57.0,4.51785714286,0.0263157894737,0.158818097876,0.815789473684,2.04188481675,-5.49295774648
3070,2921.0,236.0,161.0,63.0,12.3771186441,6.0,2921.0,70.0,3.30434782609,0.00621118012422,0.110026619343,0.88198757764,11.9243697479,-12.775862069
3071,1479.0,390.0,35.0,222.0,3.79230769231,2.0,1479.0,101.0,3.63,0.0285714285714,0.167468175389,0.914285714286,3.03305785124,-4.99319727891
3072,6903.0,365.0,105.0,192.0,18.9123287671,17.0,6903.0,114.0,3.18584070796,0.00952380952381,0.0954051796157,0.638095238095,7.375,-8.92073170732
3073,63881.0,386.0,876.0,332.0,165.494818653,121.0,63881.0,114.0,3.37168141593,0.00114155251142,0.0829728430666,0.646118721461,53.3448275862,-59.8186813187
3074,1009.0,322.0,52.0,100.0,3.13354037267,1.0,1009.0,75.0,4.24324324324,0.0192307692308,0.119487179487,0.807692307692,2.52252252252,-5.67676767677
3075,32940.0,598.0,172.0,398.0,55.0836120401,50.0,32940.0,151.0,3.91333333333,0.00581395348837,0.116279069767,0.627906976744,12.0301369863,-18.9267241379
