2011-11-30, 6
2015-04-10, 4
2015-04-16, 3
2011-09-07, 1
2011-10-23, 2
2011-10-12, 7
2012-08-29, 2
2014-03-20, 1
2013-08-11, 1
2012-06-11, 1
2011-08-13, 5
2012-06-26, 8
2013-09-16, 1
2011-09-22, 1
2015-09-30, 2
2013-07-11, 1
2014-04-29, 1
2012-07-28, 1
2012-08-17, 1
2012-04-11, 2
2012-09-24, 4
2012-05-21, 2
2011-10-07, 6
2015-05-27, 1
2014-06-10, 6
2012-04-17, 1
2017-10-25, 1
2013-04-03, 5
2017-05-08, 1
2011-08-19, 4
2012-07-30, 2
2016-10-12, 2
2016-10-27, 2
2013-06-07, 1
2013-06-03, 1
2012-12-12, 1
2011-08-17, 16
2012-06-23, 1
2013-04-15, 2
2016-10-07, 1
2012-08-14, 6
2014-11-20, 6
2014-11-11, 2
2011-12-07, 2
2011-11-18, 1
2013-05-31, 1
2012-03-29, 3
2014-07-09, 1
2013-08-15, 1
2012-05-05, 5
2013-04-25, 2
2012-06-15, 1
2016-10-24, 2
2011-09-05, 7
2012-04-15, 1
2017-01-29, 1
2015-09-16, 1
2013-05-30, 1
2016-10-11, 1
2016-06-20, 1
2013-12-20, 1
2017-06-13, 1
2016-06-24, 1
2016-10-25, 1
2013-06-21, 4
2012-07-18, 2
2016-11-23, 2
2013-12-16, 1
2016-05-27, 1
2015-07-07, 1
2011-12-01, 1
2013-03-05, 1
2013-05-29, 1
2017-06-21, 2
2012-07-24, 1
2016-12-06, 2
2013-10-09, 1
2012-02-06, 2
2013-01-03, 1
2014-05-02, 1
2011-08-18, 4
2012-09-10, 7
2014-06-14, 1
2012-06-19, 3
2012-07-06, 6
2012-01-20, 1
2013-10-25, 2
2013-10-10, 1
2017-06-30, 2
2012-03-15, 1
2011-08-15, 11
2016-02-26, 1
2017-08-28, 1
2011-10-20, 9
2012-11-09, 5
2012-05-12, 1
2012-09-22, 1
2012-08-06, 1
2011-09-06, 8
2012-04-04, 3
2012-07-08, 5
2013-03-11, 1
2012-09-26, 4
2013-11-07, 4
2012-06-07, 2
2016-04-21, 1
2012-08-01, 3
2012-09-02, 1
2015-02-25, 1
2012-11-10, 2
2016-10-10, 6
2012-09-07, 1
2014-10-11, 1
2012-06-29, 2
2012-06-04, 1
2014-03-01, 3
2014-09-17, 1
2012-09-04, 2
2012-11-29, 9
2012-05-18, 1
2011-11-28, 1
2012-07-21, 1
2012-11-06, 4
2014-09-30, 1
2011-09-20, 6
2017-01-06, 1
2014-07-23, 1
2012-07-03, 1
2013-04-18, 2
2015-01-31, 1
2017-11-08, 2
2013-08-02, 1
2012-04-07, 1
2014-07-28, 1
2012-12-20, 6
2012-07-05, 2
2011-08-11, 1
2014-05-15, 1
2016-06-16, 1
2012-10-11, 1
2012-02-21, 3
2014-02-28, 4
2017-05-16, 1
2012-12-19, 8
2012-08-30, 3
2015-08-06, 1
2014-01-19, 2
2017-02-28, 1
2012-08-02, 2
2012-04-29, 1
2013-03-14, 5
2016-07-09, 4
2014-11-13, 1
2013-12-09, 1
2012-05-19, 2
2015-05-06, 1
2016-07-13, 1
2012-10-18, 3
2011-08-09, 1
2012-09-03, 1
2013-03-25, 1
2015-10-23, 1
2013-10-04, 2
2012-07-07, 2
2015-07-24, 1
2014-10-16, 3
2015-04-28, 1
2013-06-25, 1
2012-02-01, 2
2016-07-20, 4
